username;biography;edge_follow_count;edge_followed_by_count;crawl_time
cpcm.id;"Open Monday to Sunday | 10 AM to 10 PM
📍2nd Floor, Carstensz Mall
📍2nd Floor, Pluit Village
📍2nd Floor, Mall of Indonesia";3;15652;2025-03-24 15:15:36
cpcm.id;"Open Monday to Sunday | 10 AM to 10 PM
📍2nd Floor, Carstensz Mall
📍2nd Floor, Pluit Village
📍2nd Floor, Mall of Indonesia";3;15678;2025-03-25 10:01:52
