crawl_time;following_count;follower_count;signature;uid;bio_url;nickname;unique_id
2025-03-24 15:17:15;3;95086;Open Monday to Sunday | 10 AM to 10 PM;7216354296395629573;;CowPlayCowMoo Indonesia;cpcm.id
2025-03-25 09:57:21;3;95072;Open Monday to Sunday | 10 AM to 10 PM;7216354296395629573;;CowPlayCowMoo Indonesia;cpcm.id
