channel_id;title;subscriber_count;view_count;creation_date;video_count;crawl_time
UCYgy7wucmLwYwL2b_Z0h9OQ;Cow Play Cow Moo Indonesia;315;2279258;2023-05-29 00:00:00;11;2025-03-24 15:02:40
UCYgy7wucmLwYwL2b_Z0h9OQ;Cow Play Cow Moo Indonesia;315;2279264;2023-05-29 00:00:00;11;2025-03-25 10:06:07
